namapemda,provinsi,tahun,level1coa90,level2coa90,level3coa90,jenis,nilai
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2023,4. Pendapatan Daerah,41. PAD,414. Lain-Lain PAD yang Sah,Realisasi,95042207716.17
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2023,4. Pendapatan Daerah,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,Anggaran,1588313356000
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2023,4. Pendapatan Daerah,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,Realisasi,1400914396760
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2023,5. Belanja Daerah,51. Belanja Pegawai,511. Belanja Pegawai,Anggaran,945162580474
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2023,5. Belanja Daerah,51. Belanja Pegawai,511. Belanja Pegawai,Realisasi,813929308025
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2023,5. Belanja Daerah,52. Belanja Barang dan Jasa,512. Belanja Barang dan Jasa,Anggaran,939259037796
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2023,5. Belanja Daerah,52. Belanja Barang dan Jasa,512. Belanja Barang dan Jasa,Realisasi,885764827023
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2023,5. Belanja Daerah,53. Belanja Modal,520. Belanja Modal,Anggaran,491999213459
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2023,5. Belanja Daerah,53. Belanja Modal,520. Belanja Modal,Realisasi,573537999406
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2023,5. Belanja Daerah,54. Belanja Lainnya,514. Belanja Subsidi,Anggaran,0
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2023,5. Belanja Daerah,54. Belanja Lainnya,514. Belanja Subsidi,Realisasi,15491196898
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2023,5. Belanja Daerah,54. Belanja Lainnya,515. Belanja Hibah,Anggaran,105364852379
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2023,5. Belanja Daerah,54. Belanja Lainnya,515. Belanja Hibah,Realisasi,145754794053
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2023,5. Belanja Daerah,54. Belanja Lainnya,516. Belanja Bantuan Sosial,Anggaran,2137430800
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2023,5. Belanja Daerah,54. Belanja Lainnya,516. Belanja Bantuan Sosial,Realisasi,11711834500
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2023,5. Belanja Daerah,54. Belanja Lainnya,531. Belanja Tidak Terduga,Anggaran,52299481013
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2023,5. Belanja Daerah,54. Belanja Lainnya,531. Belanja Tidak Terduga,Realisasi,849364000
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2023,5. Belanja Daerah,54. Belanja Lainnya,541. Belanja Bagi Hasil,Anggaran,358607023000
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2023,5. Belanja Daerah,54. Belanja Lainnya,541. Belanja Bagi Hasil,Realisasi,491750764942
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2023,5. Belanja Daerah,54. Belanja Lainnya,542. Belanja Bantuan Keuangan,Anggaran,67464300000
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2023,5. Belanja Daerah,54. Belanja Lainnya,542. Belanja Bantuan Keuangan,Realisasi,71558847050
